group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ConfigZ3,,,,,991627.0,ns,7985
ConfigZ3,,,,,2006241.0,ns,15970
ConfigZ3,,,,,2936954.0,ns,23955
ConfigZ3,,,,,3947789.0,ns,31940
ConfigZ3,,,,,5831459.0,ns,39925
ConfigZ3,,,,,5894651.0,ns,47910
ConfigZ3,,,,,7433309.0,ns,55895
ConfigZ3,,,,,8076788.0,ns,63880
ConfigZ3,,,,,8956306.0,ns,71865
ConfigZ3,,,,,9968556.0,ns,79850
ConfigZ3,,,,,10892855.0,ns,87835
ConfigZ3,,,,,11889828.0,ns,95820
ConfigZ3,,,,,12894770.0,ns,103805
ConfigZ3,,,,,13796242.0,ns,111790
ConfigZ3,,,,,14799505.0,ns,119775
ConfigZ3,,,,,15709352.0,ns,127760
ConfigZ3,,,,,16761382.0,ns,135745
ConfigZ3,,,,,17733530.0,ns,143730
ConfigZ3,,,,,18712810.0,ns,151715
ConfigZ3,,,,,19643720.0,ns,159700
ConfigZ3,,,,,21177517.0,ns,167685
ConfigZ3,,,,,21689912.0,ns,175670
ConfigZ3,,,,,22806689.0,ns,183655
ConfigZ3,,,,,23730966.0,ns,191640
ConfigZ3,,,,,24555813.0,ns,199625
ConfigZ3,,,,,25525387.0,ns,207610
ConfigZ3,,,,,27509013.0,ns,215595
ConfigZ3,,,,,27577261.0,ns,223580
ConfigZ3,,,,,28503864.0,ns,231565
ConfigZ3,,,,,29503733.0,ns,239550
ConfigZ3,,,,,30616238.0,ns,247535
ConfigZ3,,,,,31478303.0,ns,255520
ConfigZ3,,,,,32437278.0,ns,263505
ConfigZ3,,,,,33382458.0,ns,271490
ConfigZ3,,,,,34448213.0,ns,279475
ConfigZ3,,,,,35510555.0,ns,287460
ConfigZ3,,,,,36547362.0,ns,295445
ConfigZ3,,,,,37464683.0,ns,303430
ConfigZ3,,,,,38604093.0,ns,311415
ConfigZ3,,,,,39309062.0,ns,319400
ConfigZ3,,,,,40362212.0,ns,327385
ConfigZ3,,,,,41592418.0,ns,335370
ConfigZ3,,,,,42319800.0,ns,343355
ConfigZ3,,,,,44183344.0,ns,351340
ConfigZ3,,,,,44472404.0,ns,359325
ConfigZ3,,,,,45475999.0,ns,367310
ConfigZ3,,,,,46304230.0,ns,375295
ConfigZ3,,,,,47400115.0,ns,383280
ConfigZ3,,,,,48448755.0,ns,391265
ConfigZ3,,,,,49692435.0,ns,399250
ConfigZ3,,,,,50441918.0,ns,407235
ConfigZ3,,,,,51242834.0,ns,415220
ConfigZ3,,,,,52526694.0,ns,423205
ConfigZ3,,,,,53408258.0,ns,431190
ConfigZ3,,,,,54193310.0,ns,439175
ConfigZ3,,,,,55810655.0,ns,447160
ConfigZ3,,,,,56771461.0,ns,455145
ConfigZ3,,,,,57339073.0,ns,463130
ConfigZ3,,,,,58026992.0,ns,471115
ConfigZ3,,,,,59109767.0,ns,479100
ConfigZ3,,,,,60303016.0,ns,487085
ConfigZ3,,,,,61213307.0,ns,495070
ConfigZ3,,,,,62391231.0,ns,503055
ConfigZ3,,,,,63158476.0,ns,511040
ConfigZ3,,,,,64233919.0,ns,519025
ConfigZ3,,,,,65877559.0,ns,527010
ConfigZ3,,,,,66268778.0,ns,534995
ConfigZ3,,,,,67088171.0,ns,542980
ConfigZ3,,,,,68062335.0,ns,550965
ConfigZ3,,,,,68926006.0,ns,558950
ConfigZ3,,,,,69813086.0,ns,566935
ConfigZ3,,,,,70851512.0,ns,574920
ConfigZ3,,,,,71765869.0,ns,582905
ConfigZ3,,,,,72766742.0,ns,590890
ConfigZ3,,,,,74901442.0,ns,598875
ConfigZ3,,,,,74887669.0,ns,606860
ConfigZ3,,,,,75782276.0,ns,614845
ConfigZ3,,,,,76997618.0,ns,622830
ConfigZ3,,,,,77756346.0,ns,630815
ConfigZ3,,,,,78804145.0,ns,638800
ConfigZ3,,,,,79960533.0,ns,646785
ConfigZ3,,,,,80862887.0,ns,654770
ConfigZ3,,,,,82665273.0,ns,662755
ConfigZ3,,,,,82831092.0,ns,670740
ConfigZ3,,,,,83870900.0,ns,678725
ConfigZ3,,,,,84858843.0,ns,686710
ConfigZ3,,,,,86196811.0,ns,694695
ConfigZ3,,,,,87157755.0,ns,702680
ConfigZ3,,,,,87972884.0,ns,710665
ConfigZ3,,,,,89802897.0,ns,718650
ConfigZ3,,,,,89864531.0,ns,726635
ConfigZ3,,,,,91067770.0,ns,734620
ConfigZ3,,,,,91980290.0,ns,742605
ConfigZ3,,,,,92874337.0,ns,750590
ConfigZ3,,,,,93790192.0,ns,758575
ConfigZ3,,,,,94637677.0,ns,766560
ConfigZ3,,,,,95573861.0,ns,774545
ConfigZ3,,,,,96384516.0,ns,782530
ConfigZ3,,,,,97396247.0,ns,790515
ConfigZ3,,,,,98553605.0,ns,798500
