group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ConfigZ3,,,,,971822.0,ns,7926
ConfigZ3,,,,,1943316.0,ns,15852
ConfigZ3,,,,,2999871.0,ns,23778
ConfigZ3,,,,,4047934.0,ns,31704
ConfigZ3,,,,,5952271.0,ns,39630
ConfigZ3,,,,,5991616.0,ns,47556
ConfigZ3,,,,,7218525.0,ns,55482
ConfigZ3,,,,,8446980.0,ns,63408
ConfigZ3,,,,,8979619.0,ns,71334
ConfigZ3,,,,,10047557.0,ns,79260
ConfigZ3,,,,,11007537.0,ns,87186
ConfigZ3,,,,,11781954.0,ns,95112
ConfigZ3,,,,,12720557.0,ns,103038
ConfigZ3,,,,,13889248.0,ns,110964
ConfigZ3,,,,,14716003.0,ns,118890
ConfigZ3,,,,,15733648.0,ns,126816
ConfigZ3,,,,,16603373.0,ns,134742
ConfigZ3,,,,,17611381.0,ns,142668
ConfigZ3,,,,,18799528.0,ns,150594
ConfigZ3,,,,,19501637.0,ns,158520
ConfigZ3,,,,,20507247.0,ns,166446
ConfigZ3,,,,,21664851.0,ns,174372
ConfigZ3,,,,,22531828.0,ns,182298
ConfigZ3,,,,,23515325.0,ns,190224
ConfigZ3,,,,,24732027.0,ns,198150
ConfigZ3,,,,,25589483.0,ns,206076
ConfigZ3,,,,,26619484.0,ns,214002
ConfigZ3,,,,,27461843.0,ns,221928
ConfigZ3,,,,,28433050.0,ns,229854
ConfigZ3,,,,,29325303.0,ns,237780
ConfigZ3,,,,,30685141.0,ns,245706
ConfigZ3,,,,,31546503.0,ns,253632
ConfigZ3,,,,,32408448.0,ns,261558
ConfigZ3,,,,,34135039.0,ns,269484
ConfigZ3,,,,,34573927.0,ns,277410
ConfigZ3,,,,,35231074.0,ns,285336
ConfigZ3,,,,,36135395.0,ns,293262
ConfigZ3,,,,,37351873.0,ns,301188
ConfigZ3,,,,,38550083.0,ns,309114
ConfigZ3,,,,,39350207.0,ns,317040
ConfigZ3,,,,,40319780.0,ns,324966
ConfigZ3,,,,,41796661.0,ns,332892
ConfigZ3,,,,,42243591.0,ns,340818
ConfigZ3,,,,,43382692.0,ns,348744
ConfigZ3,,,,,44128578.0,ns,356670
ConfigZ3,,,,,45179313.0,ns,364596
ConfigZ3,,,,,46177124.0,ns,372522
ConfigZ3,,,,,47321450.0,ns,380448
ConfigZ3,,,,,49023607.0,ns,388374
ConfigZ3,,,,,49509346.0,ns,396300
ConfigZ3,,,,,50327412.0,ns,404226
ConfigZ3,,,,,51148347.0,ns,412152
ConfigZ3,,,,,51913370.0,ns,420078
ConfigZ3,,,,,52852445.0,ns,428004
ConfigZ3,,,,,54063812.0,ns,435930
ConfigZ3,,,,,54999783.0,ns,443856
ConfigZ3,,,,,55952671.0,ns,451782
ConfigZ3,,,,,57195831.0,ns,459708
ConfigZ3,,,,,58226050.0,ns,467634
ConfigZ3,,,,,59912689.0,ns,475560
ConfigZ3,,,,,60011333.0,ns,483486
ConfigZ3,,,,,61079308.0,ns,491412
ConfigZ3,,,,,61880391.0,ns,499338
ConfigZ3,,,,,62873360.0,ns,507264
ConfigZ3,,,,,63860529.0,ns,515190
ConfigZ3,,,,,65022194.0,ns,523116
ConfigZ3,,,,,65638758.0,ns,531042
ConfigZ3,,,,,66890665.0,ns,538968
ConfigZ3,,,,,67858640.0,ns,546894
ConfigZ3,,,,,69654583.0,ns,554820
ConfigZ3,,,,,69604451.0,ns,562746
ConfigZ3,,,,,70528346.0,ns,570672
ConfigZ3,,,,,71556073.0,ns,578598
ConfigZ3,,,,,72647590.0,ns,586524
ConfigZ3,,,,,73642284.0,ns,594450
ConfigZ3,,,,,74978517.0,ns,602376
ConfigZ3,,,,,75490968.0,ns,610302
ConfigZ3,,,,,77600395.0,ns,618228
ConfigZ3,,,,,77504500.0,ns,626154
ConfigZ3,,,,,78676744.0,ns,634080
ConfigZ3,,,,,79805125.0,ns,642006
ConfigZ3,,,,,80548328.0,ns,649932
ConfigZ3,,,,,81464465.0,ns,657858
ConfigZ3,,,,,82620087.0,ns,665784
ConfigZ3,,,,,84515235.0,ns,673710
ConfigZ3,,,,,84668783.0,ns,681636
ConfigZ3,,,,,85621965.0,ns,689562
ConfigZ3,,,,,86639488.0,ns,697488
ConfigZ3,,,,,87740562.0,ns,705414
ConfigZ3,,,,,87913305.0,ns,713340
ConfigZ3,,,,,89391496.0,ns,721266
ConfigZ3,,,,,91704084.0,ns,729192
ConfigZ3,,,,,91660601.0,ns,737118
ConfigZ3,,,,,92257294.0,ns,745044
ConfigZ3,,,,,93410551.0,ns,752970
ConfigZ3,,,,,94293959.0,ns,760896
ConfigZ3,,,,,95385484.0,ns,768822
ConfigZ3,,,,,96312593.0,ns,776748
ConfigZ3,,,,,98891143.0,ns,784674
ConfigZ3,,,,,98060406.0,ns,792600
