group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ContextZ3,,,,,1061991.0,ns,11
ContextZ3,,,,,2115170.0,ns,22
ContextZ3,,,,,3156404.0,ns,33
ContextZ3,,,,,4202533.0,ns,44
ContextZ3,,,,,6658750.0,ns,55
ContextZ3,,,,,6417403.0,ns,66
ContextZ3,,,,,8399887.0,ns,77
ContextZ3,,,,,8634950.0,ns,88
ContextZ3,,,,,9796977.0,ns,99
ContextZ3,,,,,10570814.0,ns,110
ContextZ3,,,,,11742140.0,ns,121
ContextZ3,,,,,12763121.0,ns,132
ContextZ3,,,,,13817226.0,ns,143
ContextZ3,,,,,14863639.0,ns,154
ContextZ3,,,,,15884987.0,ns,165
ContextZ3,,,,,16970420.0,ns,176
ContextZ3,,,,,18035320.0,ns,187
ContextZ3,,,,,19105092.0,ns,198
ContextZ3,,,,,20006106.0,ns,209
ContextZ3,,,,,21325387.0,ns,220
ContextZ3,,,,,22305598.0,ns,231
ContextZ3,,,,,23238071.0,ns,242
ContextZ3,,,,,24531802.0,ns,253
ContextZ3,,,,,26478231.0,ns,264
ContextZ3,,,,,26692423.0,ns,275
ContextZ3,,,,,27551064.0,ns,286
ContextZ3,,,,,28579330.0,ns,297
ContextZ3,,,,,30590424.0,ns,308
ContextZ3,,,,,31002202.0,ns,319
ContextZ3,,,,,31920846.0,ns,330
ContextZ3,,,,,32950206.0,ns,341
ContextZ3,,,,,34130245.0,ns,352
ContextZ3,,,,,35072326.0,ns,363
ContextZ3,,,,,35996806.0,ns,374
ContextZ3,,,,,37157251.0,ns,385
ContextZ3,,,,,38276518.0,ns,396
ContextZ3,,,,,39313147.0,ns,407
ContextZ3,,,,,40447546.0,ns,418
ContextZ3,,,,,41462424.0,ns,429
ContextZ3,,,,,42450037.0,ns,440
ContextZ3,,,,,43579624.0,ns,451
ContextZ3,,,,,44635999.0,ns,462
ContextZ3,,,,,45647109.0,ns,473
ContextZ3,,,,,48075372.0,ns,484
ContextZ3,,,,,48693251.0,ns,495
ContextZ3,,,,,48985560.0,ns,506
ContextZ3,,,,,49967174.0,ns,517
ContextZ3,,,,,51113100.0,ns,528
ContextZ3,,,,,52228376.0,ns,539
ContextZ3,,,,,52945688.0,ns,550
ContextZ3,,,,,53935462.0,ns,561
ContextZ3,,,,,55163770.0,ns,572
ContextZ3,,,,,56123293.0,ns,583
ContextZ3,,,,,57356358.0,ns,594
ContextZ3,,,,,59746541.0,ns,605
ContextZ3,,,,,59632121.0,ns,616
ContextZ3,,,,,60234824.0,ns,627
ContextZ3,,,,,61624993.0,ns,638
ContextZ3,,,,,62942125.0,ns,649
ContextZ3,,,,,63572509.0,ns,660
ContextZ3,,,,,64498778.0,ns,671
ContextZ3,,,,,65698095.0,ns,682
ContextZ3,,,,,66909352.0,ns,693
ContextZ3,,,,,72650655.0,ns,704
ContextZ3,,,,,70297698.0,ns,715
ContextZ3,,,,,70582313.0,ns,726
ContextZ3,,,,,70918348.0,ns,737
ContextZ3,,,,,72052161.0,ns,748
ContextZ3,,,,,73318896.0,ns,759
ContextZ3,,,,,74214101.0,ns,770
ContextZ3,,,,,75345409.0,ns,781
ContextZ3,,,,,76501710.0,ns,792
ContextZ3,,,,,79118398.0,ns,803
ContextZ3,,,,,78562511.0,ns,814
ContextZ3,,,,,79787511.0,ns,825
ContextZ3,,,,,80669443.0,ns,836
ContextZ3,,,,,81634365.0,ns,847
ContextZ3,,,,,83167249.0,ns,858
ContextZ3,,,,,84884334.0,ns,869
ContextZ3,,,,,87025791.0,ns,880
ContextZ3,,,,,87373895.0,ns,891
ContextZ3,,,,,87614854.0,ns,902
ContextZ3,,,,,89111280.0,ns,913
ContextZ3,,,,,90559520.0,ns,924
ContextZ3,,,,,91662903.0,ns,935
ContextZ3,,,,,92710031.0,ns,946
ContextZ3,,,,,94823229.0,ns,957
ContextZ3,,,,,95016566.0,ns,968
ContextZ3,,,,,97414239.0,ns,979
ContextZ3,,,,,99565633.0,ns,990
ContextZ3,,,,,98552284.0,ns,1001
ContextZ3,,,,,98935734.0,ns,1012
ContextZ3,,,,,100824926.0,ns,1023
ContextZ3,,,,,101774242.0,ns,1034
ContextZ3,,,,,102851988.0,ns,1045
ContextZ3,,,,,103738858.0,ns,1056
ContextZ3,,,,,105359739.0,ns,1067
ContextZ3,,,,,105855683.0,ns,1078
ContextZ3,,,,,108163134.0,ns,1089
ContextZ3,,,,,108302300.0,ns,1100
