group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ContextZ3,,,,,983568.0,ns,10
ContextZ3,,,,,2010113.0,ns,20
ContextZ3,,,,,3030139.0,ns,30
ContextZ3,,,,,4020857.0,ns,40
ContextZ3,,,,,6574951.0,ns,50
ContextZ3,,,,,6008278.0,ns,60
ContextZ3,,,,,8658206.0,ns,70
ContextZ3,,,,,8004983.0,ns,80
ContextZ3,,,,,8931461.0,ns,90
ContextZ3,,,,,10028237.0,ns,100
ContextZ3,,,,,10964144.0,ns,110
ContextZ3,,,,,11989846.0,ns,120
ContextZ3,,,,,13079539.0,ns,130
ContextZ3,,,,,14092798.0,ns,140
ContextZ3,,,,,14938570.0,ns,150
ContextZ3,,,,,15956546.0,ns,160
ContextZ3,,,,,17004295.0,ns,170
ContextZ3,,,,,18002211.0,ns,180
ContextZ3,,,,,18938564.0,ns,190
ContextZ3,,,,,19925208.0,ns,200
ContextZ3,,,,,20916847.0,ns,210
ContextZ3,,,,,22012749.0,ns,220
ContextZ3,,,,,23133800.0,ns,230
ContextZ3,,,,,24107875.0,ns,240
ContextZ3,,,,,25014016.0,ns,250
ContextZ3,,,,,25979992.0,ns,260
ContextZ3,,,,,26961863.0,ns,270
ContextZ3,,,,,28037145.0,ns,280
ContextZ3,,,,,28822773.0,ns,290
ContextZ3,,,,,29907434.0,ns,300
ContextZ3,,,,,31967122.0,ns,310
ContextZ3,,,,,31924149.0,ns,320
ContextZ3,,,,,32921376.0,ns,330
ContextZ3,,,,,34048298.0,ns,340
ContextZ3,,,,,34967330.0,ns,350
ContextZ3,,,,,35907456.0,ns,360
ContextZ3,,,,,36941411.0,ns,370
ContextZ3,,,,,37996260.0,ns,380
ContextZ3,,,,,38899086.0,ns,390
ContextZ3,,,,,40085209.0,ns,400
ContextZ3,,,,,41079615.0,ns,410
ContextZ3,,,,,42798391.0,ns,420
ContextZ3,,,,,42905814.0,ns,430
ContextZ3,,,,,44001600.0,ns,440
ContextZ3,,,,,45224406.0,ns,450
ContextZ3,,,,,46326151.0,ns,460
ContextZ3,,,,,47088694.0,ns,470
ContextZ3,,,,,48226253.0,ns,480
ContextZ3,,,,,49107674.0,ns,490
ContextZ3,,,,,50273442.0,ns,500
ContextZ3,,,,,51218118.0,ns,510
ContextZ3,,,,,52154994.0,ns,520
ContextZ3,,,,,53260275.0,ns,530
ContextZ3,,,,,54381653.0,ns,540
ContextZ3,,,,,55270520.0,ns,550
ContextZ3,,,,,56419770.0,ns,560
ContextZ3,,,,,56991262.0,ns,570
ContextZ3,,,,,57841849.0,ns,580
ContextZ3,,,,,59073240.0,ns,590
ContextZ3,,,,,60196778.0,ns,600
ContextZ3,,,,,61004395.0,ns,610
ContextZ3,,,,,62533583.0,ns,620
ContextZ3,,,,,63555206.0,ns,630
ContextZ3,,,,,65226208.0,ns,640
ContextZ3,,,,,65211926.0,ns,650
ContextZ3,,,,,66410653.0,ns,660
ContextZ3,,,,,67153185.0,ns,670
ContextZ3,,,,,68087397.0,ns,680
ContextZ3,,,,,69200437.0,ns,690
ContextZ3,,,,,70148667.0,ns,700
ContextZ3,,,,,71249160.0,ns,710
ContextZ3,,,,,72412045.0,ns,720
ContextZ3,,,,,73712346.0,ns,730
ContextZ3,,,,,74290300.0,ns,740
ContextZ3,,,,,75139344.0,ns,750
ContextZ3,,,,,76108597.0,ns,760
ContextZ3,,,,,76849778.0,ns,770
ContextZ3,,,,,78131182.0,ns,780
ContextZ3,,,,,79142440.0,ns,790
ContextZ3,,,,,80291203.0,ns,800
ContextZ3,,,,,82072771.0,ns,810
ContextZ3,,,,,81847424.0,ns,820
ContextZ3,,,,,83249321.0,ns,830
ContextZ3,,,,,84348921.0,ns,840
ContextZ3,,,,,85360486.0,ns,850
ContextZ3,,,,,86364071.0,ns,860
ContextZ3,,,,,87551874.0,ns,870
ContextZ3,,,,,89376198.0,ns,880
ContextZ3,,,,,89643477.0,ns,890
ContextZ3,,,,,90797037.0,ns,900
ContextZ3,,,,,91350060.0,ns,910
ContextZ3,,,,,92441199.0,ns,920
ContextZ3,,,,,93519003.0,ns,930
ContextZ3,,,,,95274346.0,ns,940
ContextZ3,,,,,95800609.0,ns,950
ContextZ3,,,,,96372068.0,ns,960
ContextZ3,,,,,97453460.0,ns,970
ContextZ3,,,,,98922830.0,ns,980
ContextZ3,,,,,102173762.0,ns,990
ContextZ3,,,,,101296460.0,ns,1000
