group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
NewContextZ3,,,,,1051729.0,ns,10
NewContextZ3,,,,,1950111.0,ns,20
NewContextZ3,,,,,2899367.0,ns,30
NewContextZ3,,,,,3874397.0,ns,40
NewContextZ3,,,,,5371283.0,ns,50
NewContextZ3,,,,,5973896.0,ns,60
NewContextZ3,,,,,7024202.0,ns,70
NewContextZ3,,,,,8233385.0,ns,80
NewContextZ3,,,,,8878600.0,ns,90
NewContextZ3,,,,,9807450.0,ns,100
NewContextZ3,,,,,10804868.0,ns,110
NewContextZ3,,,,,11705418.0,ns,120
NewContextZ3,,,,,12682920.0,ns,130
NewContextZ3,,,,,13582751.0,ns,140
NewContextZ3,,,,,14632216.0,ns,150
NewContextZ3,,,,,15551055.0,ns,160
NewContextZ3,,,,,16554535.0,ns,170
NewContextZ3,,,,,17623818.0,ns,180
NewContextZ3,,,,,18536024.0,ns,190
NewContextZ3,,,,,19391918.0,ns,200
NewContextZ3,,,,,20440487.0,ns,210
NewContextZ3,,,,,21385514.0,ns,220
NewContextZ3,,,,,22398071.0,ns,230
NewContextZ3,,,,,23293553.0,ns,240
NewContextZ3,,,,,24385807.0,ns,250
NewContextZ3,,,,,25237805.0,ns,260
NewContextZ3,,,,,27396992.0,ns,270
NewContextZ3,,,,,27295032.0,ns,280
NewContextZ3,,,,,28137551.0,ns,290
NewContextZ3,,,,,29128467.0,ns,300
NewContextZ3,,,,,30174159.0,ns,310
NewContextZ3,,,,,31084564.0,ns,320
NewContextZ3,,,,,31979657.0,ns,330
NewContextZ3,,,,,33290117.0,ns,340
NewContextZ3,,,,,35011626.0,ns,350
NewContextZ3,,,,,35181150.0,ns,360
NewContextZ3,,,,,35965664.0,ns,370
NewContextZ3,,,,,36959085.0,ns,380
NewContextZ3,,,,,37840351.0,ns,390
NewContextZ3,,,,,38851780.0,ns,400
NewContextZ3,,,,,39941294.0,ns,410
NewContextZ3,,,,,40758068.0,ns,420
NewContextZ3,,,,,41760812.0,ns,430
NewContextZ3,,,,,44216718.0,ns,440
NewContextZ3,,,,,44252744.0,ns,450
NewContextZ3,,,,,44750010.0,ns,460
NewContextZ3,,,,,45700811.0,ns,470
NewContextZ3,,,,,46681663.0,ns,480
NewContextZ3,,,,,47613760.0,ns,490
NewContextZ3,,,,,48551123.0,ns,500
NewContextZ3,,,,,49640659.0,ns,510
NewContextZ3,,,,,50433369.0,ns,520
NewContextZ3,,,,,51582847.0,ns,530
NewContextZ3,,,,,52507070.0,ns,540
NewContextZ3,,,,,53437017.0,ns,550
NewContextZ3,,,,,55791819.0,ns,560
NewContextZ3,,,,,56275182.0,ns,570
NewContextZ3,,,,,56734029.0,ns,580
NewContextZ3,,,,,57810638.0,ns,590
NewContextZ3,,,,,58696460.0,ns,600
NewContextZ3,,,,,59332557.0,ns,610
NewContextZ3,,,,,60455135.0,ns,620
NewContextZ3,,,,,61251184.0,ns,630
NewContextZ3,,,,,62344163.0,ns,640
NewContextZ3,,,,,63353557.0,ns,650
NewContextZ3,,,,,65452860.0,ns,660
NewContextZ3,,,,,66100938.0,ns,670
NewContextZ3,,,,,66234866.0,ns,680
NewContextZ3,,,,,67269770.0,ns,690
NewContextZ3,,,,,68195110.0,ns,700
NewContextZ3,,,,,69260339.0,ns,710
NewContextZ3,,,,,70439995.0,ns,720
NewContextZ3,,,,,71498038.0,ns,730
NewContextZ3,,,,,72074933.0,ns,740
NewContextZ3,,,,,74352989.0,ns,750
NewContextZ3,,,,,73858802.0,ns,760
NewContextZ3,,,,,75023883.0,ns,770
NewContextZ3,,,,,75979359.0,ns,780
NewContextZ3,,,,,77014930.0,ns,790
NewContextZ3,,,,,78131569.0,ns,800
NewContextZ3,,,,,79067170.0,ns,810
NewContextZ3,,,,,80069319.0,ns,820
NewContextZ3,,,,,82066872.0,ns,830
NewContextZ3,,,,,82411700.0,ns,840
NewContextZ3,,,,,83297393.0,ns,850
NewContextZ3,,,,,84259697.0,ns,860
NewContextZ3,,,,,84934503.0,ns,870
NewContextZ3,,,,,85972712.0,ns,880
NewContextZ3,,,,,86836489.0,ns,890
NewContextZ3,,,,,89128508.0,ns,900
NewContextZ3,,,,,89110785.0,ns,910
NewContextZ3,,,,,89879548.0,ns,920
NewContextZ3,,,,,90827778.0,ns,930
NewContextZ3,,,,,92516579.0,ns,940
NewContextZ3,,,,,94945520.0,ns,950
NewContextZ3,,,,,101954293.0,ns,960
NewContextZ3,,,,,97811469.0,ns,970
NewContextZ3,,,,,96467086.0,ns,980
NewContextZ3,,,,,96605591.0,ns,990
NewContextZ3,,,,,98408930.0,ns,1000
