group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib 20,,,,,20.0,ns,6088034301083998
fib 20,,,,,18.0,ns,12176068602167996
fib 20,,,,,17.0,ns,18264102903251992
fib 20,,,,,18.0,ns,24352137204335992
fib 20,,,,,17.0,ns,30440171505419992
fib 20,,,,,17.0,ns,36528205806503984
fib 20,,,,,18.0,ns,42616240107587984
fib 20,,,,,17.0,ns,48704274408671984
fib 20,,,,,16.0,ns,54792308709755984
fib 20,,,,,17.0,ns,60880343010839984
fib 20,,,,,17.0,ns,66968377311923976
fib 20,,,,,17.0,ns,73056411613007968
fib 20,,,,,17.0,ns,79144445914091968
fib 20,,,,,17.0,ns,85232480215175968
fib 20,,,,,18.0,ns,91320514516259968
fib 20,,,,,17.0,ns,97408548817343968
fib 20,,,,,17.0,ns,103496583118427968
fib 20,,,,,17.0,ns,109584617419511968
fib 20,,,,,17.0,ns,115672651720595968
fib 20,,,,,17.0,ns,121760686021679968
fib 20,,,,,17.0,ns,127848720322763952
fib 20,,,,,17.0,ns,133936754623847952
fib 20,,,,,17.0,ns,140024788924931952
fib 20,,,,,16.0,ns,146112823226015936
fib 20,,,,,17.0,ns,152200857527099936
fib 20,,,,,17.0,ns,158288891828183936
fib 20,,,,,17.0,ns,164376926129267936
fib 20,,,,,17.0,ns,170464960430351936
fib 20,,,,,17.0,ns,176552994731435936
fib 20,,,,,17.0,ns,182641029032519936
fib 20,,,,,17.0,ns,188729063333603936
fib 20,,,,,18.0,ns,194817097634687936
fib 20,,,,,17.0,ns,200905131935771936
fib 20,,,,,18.0,ns,206993166236855936
fib 20,,,,,17.0,ns,213081200537939936
fib 20,,,,,18.0,ns,219169234839023936
fib 20,,,,,18.0,ns,225257269140107936
fib 20,,,,,17.0,ns,231345303441191936
fib 20,,,,,17.0,ns,237433337742275936
fib 20,,,,,16.0,ns,243521372043359936
fib 20,,,,,18.0,ns,249609406344443904
fib 20,,,,,16.0,ns,255697440645527904
fib 20,,,,,17.0,ns,261785474946611904
fib 20,,,,,17.0,ns,267873509247695904
fib 20,,,,,18.0,ns,273961543548779904
fib 20,,,,,17.0,ns,280049577849863904
fib 20,,,,,18.0,ns,286137612150947904
fib 20,,,,,17.0,ns,292225646452031872
fib 20,,,,,17.0,ns,298313680753115904
fib 20,,,,,17.0,ns,304401715054199872
fib 20,,,,,16.0,ns,310489749355283904
fib 20,,,,,17.0,ns,316577783656367872
fib 20,,,,,18.0,ns,322665817957451904
fib 20,,,,,17.0,ns,328753852258535872
fib 20,,,,,17.0,ns,334841886559619904
fib 20,,,,,17.0,ns,340929920860703872
fib 20,,,,,17.0,ns,347017955161787904
fib 20,,,,,17.0,ns,353105989462871872
fib 20,,,,,17.0,ns,359194023763955904
fib 20,,,,,17.0,ns,365282058065039872
fib 20,,,,,17.0,ns,371370092366123904
fib 20,,,,,17.0,ns,377458126667207872
fib 20,,,,,17.0,ns,383546160968291904
fib 20,,,,,17.0,ns,389634195269375872
fib 20,,,,,17.0,ns,395722229570459840
fib 20,,,,,16.0,ns,401810263871543872
fib 20,,,,,18.0,ns,407898298172627840
fib 20,,,,,17.0,ns,413986332473711872
fib 20,,,,,17.0,ns,420074366774795840
fib 20,,,,,17.0,ns,426162401075879872
fib 20,,,,,17.0,ns,432250435376963840
fib 20,,,,,18.0,ns,438338469678047872
fib 20,,,,,17.0,ns,444426503979131840
fib 20,,,,,16.0,ns,450514538280215872
fib 20,,,,,17.0,ns,456602572581299840
fib 20,,,,,17.0,ns,462690606882383872
fib 20,,,,,16.0,ns,468778641183467840
fib 20,,,,,17.0,ns,474866675484551872
fib 20,,,,,17.0,ns,480954709785635840
fib 20,,,,,17.0,ns,487042744086719872
fib 20,,,,,17.0,ns,493130778387803840
fib 20,,,,,16.0,ns,499218812688887808
fib 20,,,,,18.0,ns,505306846989971840
fib 20,,,,,17.0,ns,511394881291055808
fib 20,,,,,17.0,ns,517482915592139840
fib 20,,,,,17.0,ns,523570949893223808
fib 20,,,,,17.0,ns,529658984194307840
fib 20,,,,,17.0,ns,535747018495391808
fib 20,,,,,17.0,ns,541835052796475840
fib 20,,,,,17.0,ns,547923087097559808
fib 20,,,,,17.0,ns,554011121398643840
fib 20,,,,,17.0,ns,560099155699727808
fib 20,,,,,17.0,ns,566187190000811840
fib 20,,,,,17.0,ns,572275224301895808
fib 20,,,,,17.0,ns,578363258602979840
fib 20,,,,,17.0,ns,584451292904063744
fib 20,,,,,17.0,ns,590539327205147776
fib 20,,,,,17.0,ns,596627361506231808
fib 20,,,,,17.0,ns,602715395807315840
fib 20,,,,,17.0,ns,608803430108399744
