group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib 20,,,,,907936.0,ns,49
fib 20,,,,,1810461.0,ns,98
fib 20,,,,,2861507.0,ns,147
fib 20,,,,,3627052.0,ns,196
fib 20,,,,,5105966.0,ns,245
fib 20,,,,,5574144.0,ns,294
fib 20,,,,,6912693.0,ns,343
fib 20,,,,,7223480.0,ns,392
fib 20,,,,,8269756.0,ns,441
fib 20,,,,,9053209.0,ns,490
fib 20,,,,,10031983.0,ns,539
fib 20,,,,,10878300.0,ns,588
fib 20,,,,,11924494.0,ns,637
fib 20,,,,,13019112.0,ns,686
fib 20,,,,,13685802.0,ns,735
fib 20,,,,,14615493.0,ns,784
fib 20,,,,,15359053.0,ns,833
fib 20,,,,,16344237.0,ns,882
fib 20,,,,,17118247.0,ns,931
fib 20,,,,,18159341.0,ns,980
fib 20,,,,,19177375.0,ns,1029
fib 20,,,,,19963044.0,ns,1078
fib 20,,,,,20884561.0,ns,1127
fib 20,,,,,21777070.0,ns,1176
fib 20,,,,,22841326.0,ns,1225
fib 20,,,,,23614133.0,ns,1274
fib 20,,,,,24559889.0,ns,1323
fib 20,,,,,25448385.0,ns,1372
fib 20,,,,,26349174.0,ns,1421
fib 20,,,,,27931521.0,ns,1470
fib 20,,,,,28259096.0,ns,1519
fib 20,,,,,29159327.0,ns,1568
fib 20,,,,,31702634.0,ns,1617
fib 20,,,,,31034393.0,ns,1666
fib 20,,,,,31827253.0,ns,1715
fib 20,,,,,32791100.0,ns,1764
fib 20,,,,,34006020.0,ns,1813
fib 20,,,,,34606040.0,ns,1862
fib 20,,,,,35461363.0,ns,1911
fib 20,,,,,36890200.0,ns,1960
fib 20,,,,,37203009.0,ns,2009
fib 20,,,,,38254328.0,ns,2058
fib 20,,,,,39356547.0,ns,2107
fib 20,,,,,40039298.0,ns,2156
fib 20,,,,,41179339.0,ns,2205
fib 20,,,,,41721066.0,ns,2254
fib 20,,,,,42562776.0,ns,2303
fib 20,,,,,45666618.0,ns,2352
fib 20,,,,,44601260.0,ns,2401
fib 20,,,,,45511986.0,ns,2450
fib 20,,,,,47158710.0,ns,2499
fib 20,,,,,47174707.0,ns,2548
fib 20,,,,,48345198.0,ns,2597
fib 20,,,,,49268176.0,ns,2646
fib 20,,,,,50303989.0,ns,2695
fib 20,,,,,50984150.0,ns,2744
fib 20,,,,,52471321.0,ns,2793
fib 20,,,,,52665354.0,ns,2842
fib 20,,,,,53586852.0,ns,2891
fib 20,,,,,54338585.0,ns,2940
fib 20,,,,,56184344.0,ns,2989
fib 20,,,,,56077809.0,ns,3038
fib 20,,,,,56801916.0,ns,3087
fib 20,,,,,58372449.0,ns,3136
fib 20,,,,,61302617.0,ns,3185
fib 20,,,,,61186312.0,ns,3234
fib 20,,,,,60736231.0,ns,3283
fib 20,,,,,62423713.0,ns,3332
fib 20,,,,,64539728.0,ns,3381
fib 20,,,,,64564661.0,ns,3430
fib 20,,,,,65014552.0,ns,3479
fib 20,,,,,65633647.0,ns,3528
fib 20,,,,,66352107.0,ns,3577
fib 20,,,,,67210939.0,ns,3626
fib 20,,,,,69112331.0,ns,3675
fib 20,,,,,69564641.0,ns,3724
fib 20,,,,,70227294.0,ns,3773
fib 20,,,,,71471431.0,ns,3822
fib 20,,,,,74846351.0,ns,3871
fib 20,,,,,75758311.0,ns,3920
fib 20,,,,,85983189.0,ns,3969
fib 20,,,,,84207402.0,ns,4018
fib 20,,,,,82700383.0,ns,4067
fib 20,,,,,86502736.0,ns,4116
fib 20,,,,,85406657.0,ns,4165
fib 20,,,,,84925894.0,ns,4214
fib 20,,,,,86685839.0,ns,4263
fib 20,,,,,92177424.0,ns,4312
fib 20,,,,,90216475.0,ns,4361
fib 20,,,,,86104524.0,ns,4410
fib 20,,,,,93577709.0,ns,4459
fib 20,,,,,95258969.0,ns,4508
fib 20,,,,,100397640.0,ns,4557
fib 20,,,,,99972287.0,ns,4606
fib 20,,,,,95102639.0,ns,4655
fib 20,,,,,97740652.0,ns,4704
fib 20,,,,,96587957.0,ns,4753
fib 20,,,,,97307430.0,ns,4802
fib 20,,,,,92842942.0,ns,4851
fib 20,,,,,101992782.0,ns,4900
